FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,Class
50.0,41.09,118.44,2186.05,67.0,-79.82,125.0,1
50.0,41.09,118.44,2186.05,67.0,-79.82,125.0,1
50.0,41.09,118.44,2186.05,67.0,-79.82,125.0,1
50.0,41.09,118.44,2186.05,67.0,-79.82,125.0,1
50.0,41.09,118.44,2186.05,67.0,-79.82,125.0,1
50.0,41.09,118.44,2186.05,67.0,-79.82,125.0,1
50.0,41.09,118.44,2186.05,67.0,-79.82,125.0,1
50.0,41.09,118.44,2186.05,67.0,-79.82,125.0,1
50.0,41.09,118.44,2186.05,67.0,-79.82,125.0,1
50.0,41.09,118.44,2186.05,67.0,-79.82,125.0,1
50.0,41.09,118.44,2186.05,67.0,-79.82,125.0,1
50.0,41.09,118.44,2186.05,67.0,-79.82,125.0,1
50.0,41.09,118.44,2186.05,67.0,-79.82,125.0,1
50.0,41.09,118.44,2186.05,67.0,-79.82,125.0,1
50.0,41.09,125.0,2186.05,67.0,-79.82,125.0,1
50.0,41.09,125.0,2186.05,67.0,-79.72,125.0,1
50.0,39.0,90.0,2335.9,65.0,-80.0,120.0,1
50.0,39.0,90.0,2335.9,65.0,-80.0,120.0,1
50.0,39.0,90.0,2335.9,65.0,-80.0,120.0,1
50.0,39.0,90.0,2335.9,65.0,-80.0,120.0,1
50.0,39.0,90.0,2335.9,65.0,-80.0,120.0,1
50.0,39.0,90.0,2335.9,65.0,-80.0,120.0,1
50.0,39.0,90.0,2335.9,65.0,-80.0,120.0,1
50.0,39.0,90.0,2335.9,65.0,-79.67,120.0,1
50.0,39.0,90.0,2335.9,65.0,-79.34,120.0,1
50.0,39.0,90.0,2335.9,65.0,-79.92,120.0,1
50.0,39.0,90.0,2335.9,65.0,-79.37,120.0,1
50.0,39.0,90.0,2335.9,65.0,-77.08,120.0,1
50.0,39.0,90.0,2335.9,65.0,-76.04,120.0,1
50.0,39.0,90.0,2335.9,65.0,-80.0,120.0,1
50.0,39.0,90.0,2335.9,58.0,-80.0,120.0,1
